wall_clock,x,y,z
14:38:12,0.000,0.000,-0.000
14:38:13,0.000,0.000,-0.002
14:38:13,-0.000,-0.000,-0.014
14:38:14,-0.000,-0.000,-0.013
14:38:14,-0.000,-0.000,-0.013
14:38:15,-0.000,-0.000,-0.013
14:38:15,-0.000,-0.000,-0.013
14:38:16,-0.000,-0.000,-0.013
14:38:16,-0.000,-0.000,-0.013
14:38:17,-0.000,-0.000,-0.013
14:38:17,-0.000,-0.000,-0.013
14:38:18,-0.000,-0.000,-0.013
14:38:18,-0.000,-0.000,-0.013
14:38:19,-0.000,-0.000,-0.013
14:38:19,-0.000,-0.000,-0.013
14:38:20,-0.000,-0.000,-0.013
14:38:20,-0.000,-0.000,-0.013
14:38:21,-0.000,-0.000,-0.013
14:38:21,-0.000,-0.000,-0.013
14:38:22,-0.000,-0.000,-0.013
14:38:22,-0.000,-0.000,-0.013
14:38:23,-0.000,-0.000,-0.013
14:38:23,-0.000,-0.000,-0.013
14:38:24,-0.000,-0.000,-0.013
14:38:24,-0.000,-0.000,-0.013
14:38:25,-0.000,-0.000,-0.013
14:38:25,-0.000,-0.000,-0.013
14:38:26,-0.000,-0.000,-0.013
14:38:27,-0.000,-0.000,-0.013
14:38:27,-0.000,-0.000,-0.013
14:38:28,-0.000,-0.000,-0.013
14:38:28,-0.000,-0.000,-0.013
14:38:29,-0.000,-0.000,-0.013
14:38:29,-0.000,-0.000,-0.013
14:38:30,-0.000,-0.000,-0.013
14:38:30,-0.000,-0.000,-0.013
14:38:31,-0.000,-0.000,-0.013
14:38:31,-0.000,-0.000,-0.013
14:38:32,-0.000,-0.000,-0.013
14:38:32,-0.000,-0.000,-0.013
14:38:33,-0.000,-0.000,-0.013
14:38:33,-0.000,-0.000,-0.013
14:38:34,-0.000,-0.000,-0.013
14:38:34,-0.000,-0.000,-0.013
14:38:35,-0.000,-0.000,-0.013
14:38:35,-0.000,-0.000,-0.013
14:38:36,-0.002,-0.001,-0.001
14:38:36,0.033,0.017,0.365
14:38:37,0.075,0.044,1.296
14:38:37,0.095,0.059,2.117
14:38:38,0.094,0.063,1.850
14:38:38,0.098,0.064,1.644
14:38:39,0.103,0.062,1.619
14:38:39,0.103,0.057,1.647
14:38:40,0.097,0.050,1.693
14:38:40,0.088,0.042,1.742
14:38:41,0.079,0.031,1.786
14:38:41,0.072,0.021,1.824
14:38:42,0.068,0.014,1.857
14:38:42,0.065,0.009,1.885
14:38:43,0.064,0.011,1.907
14:38:43,0.062,0.018,1.928
14:38:44,0.060,0.026,1.948
14:38:44,0.058,0.033,1.966
14:38:45,0.053,0.034,1.982
14:38:45,0.049,0.034,1.995
14:38:46,0.046,0.033,2.006
14:38:46,0.042,0.032,2.012
14:38:47,0.038,0.032,2.016
14:38:47,0.033,0.030,2.015
14:38:48,0.028,0.027,2.014
14:38:48,0.025,0.024,2.020
14:38:49,0.024,0.021,2.028
14:38:49,0.024,0.018,2.035
14:38:50,0.024,0.014,2.042
14:38:50,0.022,0.010,2.046
14:38:51,0.019,0.006,2.045
14:38:51,0.015,0.003,2.041
14:38:52,0.009,-0.001,2.036
14:38:53,0.001,-0.006,2.030
14:38:53,-0.006,-0.009,2.024
14:38:54,-0.007,-0.009,2.020
14:38:54,-0.004,-0.007,2.015
14:38:55,-0.001,-0.004,2.008
14:38:55,-0.002,-0.000,2.003
14:38:56,-0.003,0.002,2.002
14:38:56,-0.000,0.007,1.999
14:38:57,0.007,0.013,1.995
14:38:57,0.016,0.018,1.990
14:38:58,0.025,0.020,1.985
14:38:58,0.029,0.020,1.979
14:38:59,0.031,0.018,1.978
14:38:59,0.032,0.012,1.981
14:39:00,0.032,0.005,1.985
14:39:00,0.031,-0.001,1.988
14:39:01,0.029,-0.002,1.991
14:39:01,0.031,-0.000,1.992
14:39:02,0.035,0.001,1.997
14:39:02,0.044,0.001,2.003
14:39:03,0.053,-0.002,2.006
14:39:03,0.060,-0.006,2.006
14:39:04,0.066,-0.011,2.005
14:39:04,0.071,-0.019,2.003
14:39:05,0.076,-0.021,1.998
14:39:05,0.082,-0.021,1.992
14:39:06,0.083,-0.022,1.989
14:39:06,0.151,-0.035,1.986
14:39:07,0.264,-0.051,1.988
14:39:07,0.383,-0.074,1.994
