run,handoffs,arrived,arrival_denied,contact,blocked,size_drop,center_fail,lost,strayed,gave_up,pose_broken,throttled,locked,tgt_x,tgt_y,drone_x,drone_y,obstacle_gap
1,1,1,0,0,0,0,0,0,0,0,0,0,bottle,2.01,-0.57,0.93,-1.18,0.46
2,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.66,-0.17,0.11,0.02,0.17
