weights,object,seen,hit
yolov8x-worldv2.pt,bowl,8,0
yolov8x-worldv2.pt,headphones,5,0
yolov8x-worldv2.pt,bottle,4,0
yolov8x-worldv2.pt,chair,5,5
yolov8x-worldv2.pt,table,8,8
yolov8x-worldv2.pt,sofa,5,4
yolov8x-worldv2.pt,bookshelf,8,8
yolov8x-worldv2.pt,cabinet,8,5
yolov8x-worldv2.pt,laptop,8,2
yolov8x-worldv2.pt,book,8,1
yolov8x-worldv2.pt,mug,8,1
yolov8x-worldv2.pt,phone,8,4
