wall_clock,x,y,z
14:31:10,-0.000,-0.000,-0.013
14:31:11,-0.000,-0.000,-0.013
14:31:11,-0.000,-0.000,-0.013
14:31:12,-0.000,-0.000,-0.013
14:31:12,-0.000,-0.000,-0.013
14:31:13,-0.000,-0.000,-0.013
14:31:13,-0.000,-0.000,-0.013
14:31:14,-0.000,-0.000,-0.013
14:31:14,-0.000,-0.000,-0.013
14:31:15,-0.000,-0.000,-0.013
14:31:15,-0.000,-0.000,-0.013
14:31:16,-0.000,-0.000,-0.013
14:31:17,-0.000,-0.000,-0.013
14:31:17,-0.000,-0.000,-0.013
14:31:18,-0.000,-0.000,-0.013
14:31:18,-0.000,-0.000,-0.013
14:31:19,-0.000,-0.000,-0.013
14:31:19,-0.000,-0.000,-0.013
14:31:20,-0.000,-0.000,-0.013
14:31:20,-0.000,-0.000,-0.013
14:31:21,-0.000,-0.000,-0.013
14:31:21,-0.000,-0.000,-0.013
14:31:22,-0.000,-0.000,-0.013
14:31:22,-0.000,-0.000,-0.013
14:31:23,-0.000,-0.000,-0.013
14:31:23,-0.000,-0.000,-0.013
14:31:24,-0.000,-0.000,-0.013
14:31:24,-0.000,-0.000,-0.013
14:31:25,-0.000,-0.000,-0.013
14:31:25,-0.000,-0.000,-0.013
14:31:26,-0.000,-0.000,-0.013
14:31:26,-0.000,-0.000,-0.013
14:31:27,-0.000,-0.000,-0.013
14:31:27,-0.000,-0.000,-0.013
14:31:28,-0.000,-0.000,-0.013
14:31:28,-0.000,-0.000,-0.013
14:31:29,-0.000,-0.000,-0.013
14:31:29,-0.000,-0.000,-0.013
14:31:30,-0.000,-0.000,-0.013
14:31:30,-0.000,-0.000,-0.013
14:31:31,-0.000,0.000,-0.013
14:31:31,0.016,0.005,0.193
14:31:32,0.061,0.019,0.971
14:31:32,0.090,0.025,2.076
14:31:33,0.099,0.026,2.102
14:31:33,0.101,0.025,1.775
14:31:34,0.111,0.031,1.669
14:31:34,0.119,0.034,1.658
14:31:35,0.119,0.035,1.683
14:31:35,0.115,0.037,1.719
14:31:36,0.108,0.040,1.757
14:31:36,0.106,0.046,1.794
14:31:37,0.105,0.053,1.829
14:31:37,0.105,0.060,1.865
14:31:38,0.104,0.062,1.897
14:31:38,0.101,0.060,1.921
14:31:39,0.098,0.058,1.940
14:31:39,0.096,0.058,1.958
14:31:40,0.097,0.059,1.975
14:31:40,0.098,0.059,1.989
14:31:41,0.099,0.060,2.000
14:31:41,0.098,0.064,2.008
14:31:42,0.094,0.071,2.011
14:31:43,0.091,0.075,2.014
14:31:43,0.090,0.074,2.018
14:31:44,0.089,0.072,2.022
14:31:44,0.085,0.069,2.028
14:31:45,0.081,0.063,2.033
14:31:45,0.081,0.053,2.034
14:31:46,0.081,0.042,2.031
14:31:46,0.078,0.034,2.026
14:31:47,0.076,0.031,2.022
14:31:47,0.074,0.033,2.020
14:31:48,0.072,0.036,2.021
14:31:48,0.073,0.043,2.021
14:31:49,0.076,0.054,2.019
14:31:49,0.077,0.066,2.017
14:31:50,0.075,0.078,2.018
14:31:50,0.072,0.086,2.022
14:31:51,0.073,0.088,2.026
14:31:51,0.078,0.085,2.029
14:31:52,0.084,0.081,2.030
14:31:52,0.086,0.076,2.031
14:31:53,0.084,0.070,2.029
14:31:53,0.083,0.066,2.026
14:31:54,0.086,0.069,2.024
14:31:54,0.092,0.080,2.023
14:31:55,0.097,0.092,2.019
14:31:55,0.100,0.100,2.014
14:31:56,0.101,0.106,2.009
14:31:56,0.102,0.107,2.006
14:31:57,0.098,0.105,2.001
14:31:57,0.094,0.101,1.994
14:31:58,0.090,0.096,1.985
14:31:58,0.084,0.090,1.973
14:31:59,0.077,0.086,1.967
14:31:59,0.071,0.085,1.965
14:32:00,0.066,0.088,1.960
14:32:00,0.063,0.093,1.957
14:32:01,0.061,0.100,1.961
14:32:01,0.063,0.102,1.971
14:32:02,0.142,0.088,1.977
14:32:02,0.260,0.067,1.979
14:32:03,0.383,0.034,1.981
14:32:03,0.504,-0.019,1.986
14:32:04,0.623,-0.081,1.997
14:32:04,0.674,-0.109,2.004
14:32:05,0.681,-0.130,2.008
14:32:05,0.680,-0.148,2.009
14:32:06,0.682,-0.160,2.008
14:32:06,0.685,-0.172,2.261
14:32:07,0.689,-0.194,2.559
14:32:07,0.684,-0.202,2.855
14:32:08,0.673,-0.211,3.075
14:32:08,0.663,-0.221,3.217
14:32:09,0.655,-0.227,3.308
14:32:09,0.648,-0.227,3.367
14:32:10,0.655,-0.226,3.415
14:32:10,0.729,-0.265,3.438
14:32:11,0.827,-0.330,3.453
14:32:11,0.929,-0.390,3.467
14:32:12,1.038,-0.441,3.477
14:32:13,1.140,-0.490,3.482
14:32:13,1.242,-0.547,3.485
14:32:14,1.345,-0.608,3.488
14:32:14,1.450,-0.671,3.490
14:32:15,1.560,-0.737,3.492
14:32:15,1.669,-0.804,3.493
14:32:16,1.780,-0.873,3.493
14:32:16,1.889,-0.939,3.494
14:32:17,2.001,-1.006,3.495
14:32:17,2.113,-1.075,3.495
14:32:18,2.224,-1.145,3.493
14:32:18,2.337,-1.215,3.491
14:32:19,2.449,-1.285,3.490
14:32:19,2.557,-1.354,3.493
14:32:20,2.664,-1.422,3.502
14:32:20,2.773,-1.488,3.511
14:32:21,2.882,-1.556,3.521
14:32:21,2.992,-1.620,3.534
14:32:22,3.104,-1.680,3.547
14:32:22,3.217,-1.735,3.558
14:32:23,3.330,-1.787,3.564
14:32:23,3.444,-1.840,3.566
14:32:24,3.562,-1.898,3.562
14:32:24,3.681,-1.958,3.555
14:32:25,3.796,-2.020,3.548
14:32:25,3.911,-2.083,3.543
14:32:26,4.021,-2.149,3.537
14:32:26,4.129,-2.215,3.528
14:32:27,4.238,-2.282,3.517
14:32:27,4.347,-2.351,3.507
14:32:28,4.458,-2.419,3.503
14:32:28,4.574,-2.485,3.503
14:32:29,4.693,-2.546,3.504
14:32:29,4.810,-2.603,3.500
14:32:30,4.927,-2.661,3.358
14:32:30,4.975,-2.692,3.054
14:32:31,4.984,-2.718,2.742
14:32:31,4.987,-2.743,2.477
14:32:32,4.989,-2.760,2.309
14:32:32,4.992,-2.769,2.206
14:32:33,4.993,-2.773,2.139
14:32:33,4.995,-2.771,2.100
14:32:34,5.037,-2.705,2.068
14:32:34,5.053,-2.669,2.020
14:32:35,5.063,-2.658,1.984
14:32:35,5.077,-2.622,1.959
14:32:36,5.082,-2.523,1.939
14:32:37,5.079,-2.399,1.924
14:32:37,5.070,-2.268,1.916
14:32:38,5.056,-2.135,1.917
14:32:38,5.041,-2.002,1.918
14:32:39,5.023,-1.865,1.918
14:32:39,4.998,-1.724,1.913
14:32:40,4.967,-1.582,1.902
14:32:40,4.932,-1.432,1.896
14:32:41,4.897,-1.278,1.894
14:32:41,4.864,-1.121,1.894
14:32:42,4.829,-0.972,1.893
14:32:42,4.793,-0.825,1.880
14:32:43,4.756,-0.681,1.841
14:32:43,4.718,-0.538,1.789
14:32:44,4.679,-0.391,1.722
14:32:44,4.636,-0.244,1.645
14:32:45,4.590,-0.100,1.562
14:32:45,4.544,0.038,1.475
14:32:46,4.495,0.178,1.378
14:32:46,4.446,0.321,1.281
14:32:47,4.399,0.463,1.179
14:32:47,4.359,0.592,1.075
14:32:48,4.322,0.707,0.967
14:32:48,4.290,0.805,0.873
14:32:49,4.268,0.883,0.814
14:32:49,4.255,0.938,0.781
14:32:50,4.241,0.979,0.760
14:32:50,4.223,1.019,0.746
14:32:51,4.204,1.051,0.739
14:32:51,4.201,1.062,0.735
14:32:52,4.202,1.066,0.729
14:32:52,4.203,1.069,0.721
14:32:53,4.200,1.067,0.714
14:32:53,4.195,1.061,0.707
14:32:54,4.191,1.051,0.706
14:32:54,4.191,1.039,0.708
14:32:55,4.196,1.029,0.707
14:32:55,4.205,1.023,0.704
14:32:56,4.219,1.022,0.702
14:32:56,4.234,1.023,0.699
14:32:57,4.244,1.025,0.696
14:32:57,4.248,1.025,0.697
14:32:58,4.251,1.023,0.701
14:32:58,4.255,1.022,0.710
14:32:59,4.261,1.019,0.716
14:32:59,4.267,1.012,0.722
14:33:00,4.257,1.023,0.729
14:33:00,4.237,1.046,0.735
14:33:01,4.230,1.051,0.739
14:33:01,4.226,1.048,0.742
14:33:02,4.222,1.042,0.744
14:33:02,4.219,1.036,0.749
14:33:03,4.220,1.029,0.751
14:33:04,4.221,1.027,0.750
14:33:04,4.221,1.030,0.749
14:33:05,4.220,1.035,0.747
14:33:05,4.220,1.041,0.747
14:33:06,4.219,1.046,0.752
14:33:06,4.218,1.051,0.756
14:33:07,4.218,1.056,0.755
14:33:07,4.219,1.059,0.750
14:33:08,4.222,1.059,0.745
14:33:08,4.226,1.058,0.737
14:33:09,4.229,1.056,0.731
14:33:09,4.232,1.055,0.730
14:33:10,4.236,1.054,0.732
14:33:10,4.242,1.051,0.730
14:33:11,4.251,1.050,0.727
14:33:11,4.258,1.051,0.723
14:33:12,4.260,1.054,0.720
14:33:12,4.258,1.057,0.718
14:33:13,4.255,1.062,0.720
14:33:13,4.250,1.065,0.721
14:33:14,4.242,1.068,0.723
14:33:14,4.235,1.070,0.725
14:33:15,4.228,1.073,0.725
14:33:15,4.223,1.076,0.724
14:33:16,4.217,1.076,0.722
14:33:16,4.211,1.075,0.719
14:33:17,4.207,1.071,0.714
14:33:17,4.205,1.063,0.709
14:33:18,4.204,1.054,0.708
14:33:18,4.204,1.045,0.705
14:33:19,4.206,1.038,0.703
14:33:19,4.209,1.035,0.707
14:33:20,4.212,1.040,0.714
14:33:20,4.213,1.047,0.724
14:33:21,4.213,1.053,0.732
14:33:21,4.214,1.056,0.740
14:33:22,4.219,1.058,0.747
14:33:22,4.225,1.059,0.753
14:33:23,4.228,1.058,0.757
14:33:23,4.225,1.058,0.759
14:33:24,4.220,1.059,0.762
14:33:24,4.216,1.061,0.767
14:33:25,4.213,1.064,0.769
14:33:25,4.211,1.067,0.765
14:33:26,4.212,1.070,0.760
14:33:26,4.215,1.068,0.754
14:33:27,4.216,1.065,0.747
14:33:27,4.212,1.060,0.740
14:33:28,4.209,1.054,0.735
14:33:28,4.209,1.048,0.733
14:33:29,4.211,1.043,0.739
14:33:29,4.214,1.040,0.744
14:33:30,4.217,1.037,0.750
14:33:30,4.219,1.032,0.756
14:33:31,4.222,1.026,0.757
14:33:32,4.222,1.022,0.753
14:33:32,4.221,1.019,0.745
14:33:33,4.219,1.014,0.736
14:33:33,4.217,1.011,0.727
14:33:34,4.214,1.012,0.718
14:33:34,4.213,1.020,0.711
14:33:35,4.212,1.031,0.706
14:33:35,4.212,1.039,0.705
14:33:36,4.216,1.046,0.704
14:33:36,4.225,1.050,0.698
14:33:37,4.236,1.054,0.690
14:33:37,4.246,1.057,0.687
14:33:38,4.254,1.059,0.691
14:33:38,4.260,1.059,0.699
14:33:39,4.265,1.059,0.709
14:33:39,4.270,1.056,0.715
14:33:40,4.276,1.052,0.718
14:33:40,4.284,1.046,0.720
14:33:41,4.290,1.042,0.717
14:33:41,4.291,1.040,0.710
14:33:42,4.278,1.049,0.706
14:33:42,4.258,1.069,0.707
14:33:43,4.248,1.079,0.713
14:33:43,4.246,1.085,0.719
14:33:44,4.246,1.089,0.718
14:33:44,4.244,1.090,0.713
14:33:45,4.244,1.094,0.710
14:33:45,4.245,1.098,0.714
14:33:46,4.244,1.101,0.720
14:33:46,4.242,1.103,0.721
14:33:47,4.241,1.105,0.719
14:33:47,4.243,1.107,0.716
14:33:48,4.247,1.109,0.713
14:33:48,4.249,1.109,0.707
14:33:49,4.247,1.106,0.699
14:33:49,4.242,1.103,0.694
14:33:50,4.236,1.097,0.693
14:33:50,4.234,1.086,0.692
14:33:51,4.233,1.072,0.693
14:33:51,4.234,1.061,0.698
14:33:52,4.234,1.055,0.701
14:33:52,4.232,1.052,0.703
14:33:53,4.228,1.053,0.701
14:33:53,4.221,1.056,0.696
14:33:54,4.218,1.059,0.695
14:33:54,4.218,1.058,0.700
14:33:55,4.218,1.055,0.705
14:33:55,4.219,1.058,0.709
14:33:56,4.219,1.067,0.711
14:33:56,4.213,1.076,0.716
14:33:57,4.205,1.085,0.722
14:33:57,4.199,1.092,0.724
14:33:58,4.198,1.097,0.722
14:33:58,4.202,1.096,0.722
14:33:59,4.209,1.091,0.722
14:34:00,4.213,1.084,0.722
14:34:00,4.215,1.078,0.721
14:34:01,4.217,1.076,0.717
14:34:01,4.219,1.075,0.713
14:34:02,4.222,1.075,0.711
14:34:02,4.224,1.076,0.714
14:34:03,4.226,1.075,0.721
14:34:03,4.227,1.073,0.727
14:34:04,4.228,1.071,0.729
14:34:04,4.227,1.067,0.733
14:34:05,4.224,1.062,0.735
14:34:05,4.220,1.061,0.735
14:34:06,4.222,1.066,0.733
14:34:06,4.227,1.074,0.733
14:34:07,4.232,1.082,0.734
14:34:07,4.233,1.086,0.735
14:34:08,4.231,1.087,0.736
14:34:08,4.232,1.082,0.734
14:34:09,4.234,1.071,0.728
14:34:09,4.233,1.060,0.722
14:34:10,4.231,1.052,0.721
14:34:10,4.228,1.046,0.721
14:34:11,4.225,1.038,0.723
14:34:11,4.223,1.032,0.726
14:34:12,4.219,1.028,0.728
14:34:12,4.214,1.025,0.730
14:34:13,4.211,1.021,0.731
14:34:13,4.209,1.018,0.732
14:34:14,4.207,1.015,0.733
14:34:14,4.205,1.016,0.736
14:34:15,4.202,1.017,0.742
14:34:15,4.200,1.020,0.747
14:34:16,4.196,1.019,0.751
14:34:16,4.191,1.016,0.754
14:34:17,4.189,1.013,0.756
14:34:17,4.193,1.010,0.756
14:34:18,4.200,1.009,0.753
14:34:18,4.207,1.010,0.753
14:34:19,4.215,1.011,0.750
14:34:19,4.225,1.010,0.742
14:34:20,4.236,1.007,0.732
14:34:20,4.247,1.000,0.723
14:34:21,4.245,1.008,0.718
14:34:21,4.222,1.041,0.713
14:34:22,4.208,1.061,0.710
14:34:22,4.203,1.064,0.708
14:34:23,4.199,1.062,0.707
14:34:23,4.198,1.061,0.709
14:34:24,4.196,1.061,0.715
14:34:24,4.193,1.060,0.723
14:34:25,4.189,1.057,0.730
14:34:25,4.184,1.055,0.733
14:34:26,4.179,1.057,0.738
14:34:26,4.176,1.062,0.743
14:34:27,4.170,1.067,0.742
14:34:28,4.167,1.074,0.736
14:34:28,4.168,1.083,0.728
14:34:29,4.175,1.092,0.725
14:34:29,4.186,1.101,0.726
14:34:30,4.195,1.110,0.726
14:34:30,4.201,1.114,0.726
14:34:31,4.205,1.110,0.725
14:34:31,4.210,1.105,0.725
14:34:32,4.214,1.100,0.726
14:34:32,4.218,1.096,0.727
14:34:33,4.225,1.093,0.729
14:34:33,4.231,1.089,0.729
14:34:34,4.236,1.086,0.727
14:34:34,4.241,1.085,0.726
14:34:35,4.247,1.086,0.724
14:34:35,4.252,1.088,0.718
14:34:36,4.255,1.091,0.710
14:34:36,4.256,1.091,0.700
14:34:37,4.257,1.088,0.689
14:34:37,4.259,1.085,0.679
14:34:38,4.260,1.082,0.671
14:34:38,4.263,1.080,0.666
14:34:39,4.267,1.078,0.663
14:34:39,4.271,1.079,0.664
14:34:40,4.276,1.080,0.667
14:34:40,4.279,1.084,0.673
14:34:41,4.279,1.091,0.684
14:34:41,4.275,1.098,0.691
14:34:42,4.275,1.102,0.691
14:34:42,4.278,1.101,0.687
14:34:43,4.282,1.098,0.680
14:34:43,4.287,1.096,0.676
14:34:44,4.291,1.094,0.679
14:34:44,4.294,1.095,0.684
14:34:45,4.293,1.101,0.690
14:34:45,4.287,1.107,0.694
14:34:46,4.279,1.111,0.696
14:34:46,4.271,1.115,0.699
14:34:47,4.265,1.119,0.700
14:34:47,4.261,1.124,0.700
14:34:48,4.257,1.130,0.703
14:34:48,4.255,1.138,0.710
14:34:49,4.256,1.146,0.717
14:34:49,4.259,1.155,0.718
14:34:50,4.258,1.165,0.716
14:34:50,4.256,1.176,0.711
14:34:51,4.253,1.187,0.707
14:34:51,4.250,1.193,0.707
14:34:52,4.244,1.196,0.707
14:34:53,4.238,1.196,0.705
14:34:53,4.231,1.195,0.702
14:34:54,4.226,1.198,0.702
14:34:54,4.226,1.200,0.705
14:34:55,4.230,1.196,0.706
14:34:55,4.237,1.190,0.706
14:34:56,4.243,1.182,0.706
14:34:56,4.248,1.172,0.709
14:34:57,4.253,1.163,0.713
14:34:57,4.258,1.156,0.715
14:34:58,4.264,1.152,0.717
14:34:58,4.270,1.149,0.719
14:34:59,4.278,1.148,0.718
14:34:59,4.283,1.146,0.717
14:35:00,4.283,1.147,0.720
14:35:00,4.280,1.154,0.724
14:35:01,4.277,1.164,0.723
14:35:01,4.272,1.178,0.722
14:35:02,4.269,1.191,0.720
14:35:02,4.268,1.201,0.718
14:35:03,4.268,1.207,0.718
14:35:03,4.266,1.209,0.716
14:35:04,4.263,1.210,0.715
14:35:04,4.258,1.209,0.710
14:35:05,4.252,1.208,0.706
14:35:05,4.250,1.210,0.705
14:35:06,4.249,1.214,0.704
14:35:06,4.250,1.219,0.702
14:35:07,4.251,1.225,0.703
14:35:07,4.252,1.227,0.705
14:35:08,4.253,1.229,0.708
14:35:08,4.252,1.234,0.711
14:35:09,4.250,1.240,0.713
14:35:09,4.247,1.246,0.715
14:35:10,4.245,1.251,0.718
14:35:10,4.243,1.258,0.719
14:35:11,4.242,1.265,0.715
14:35:11,4.240,1.272,0.711
14:35:12,4.239,1.277,0.705
14:35:12,4.242,1.281,0.700
14:35:13,4.248,1.282,0.697
14:35:13,4.256,1.284,0.697
14:35:14,4.262,1.284,0.698
14:35:14,4.269,1.280,0.701
14:35:15,4.274,1.274,0.706
14:35:15,4.277,1.271,0.716
14:35:16,4.280,1.269,0.726
14:35:16,4.280,1.268,0.729
14:35:17,4.277,1.266,0.727
14:35:17,4.271,1.264,0.725
14:35:18,4.264,1.265,0.726
14:35:18,4.259,1.266,0.727
14:35:19,4.255,1.266,0.728
14:35:19,4.254,1.265,0.727
14:35:20,4.257,1.265,0.724
14:35:20,4.261,1.269,0.722
14:35:21,4.263,1.277,0.719
14:35:22,4.261,1.284,0.719
14:35:22,4.258,1.288,0.722
14:35:23,4.257,1.290,0.730
14:35:23,4.259,1.291,0.741
14:35:24,4.266,1.292,0.750
14:35:24,4.274,1.291,0.755
14:35:25,4.278,1.287,0.756
14:35:25,4.280,1.282,0.753
14:35:26,4.284,1.278,0.747
14:35:26,4.287,1.277,0.742
14:35:27,4.288,1.277,0.735
14:35:27,4.288,1.276,0.725
14:35:28,4.287,1.275,0.716
14:35:28,4.288,1.273,0.712
14:35:29,4.288,1.271,0.714
14:35:29,4.286,1.271,0.719
14:35:30,4.286,1.272,0.723
14:35:30,4.287,1.276,0.726
14:35:31,4.289,1.277,0.730
14:35:31,4.288,1.273,0.733
14:35:32,4.288,1.268,0.735
14:35:32,4.289,1.265,0.738
14:35:33,4.287,1.265,0.742
14:35:33,4.285,1.267,0.745
14:35:34,4.284,1.265,0.746
14:35:34,4.288,1.262,0.747
14:35:35,4.296,1.262,0.748
14:35:35,4.305,1.263,0.740
14:35:36,4.311,1.265,0.732
14:35:36,4.315,1.270,0.726
14:35:37,4.320,1.276,0.723
14:35:37,4.325,1.281,0.726
14:35:38,4.330,1.285,0.733
14:35:38,4.335,1.290,0.739
14:35:39,4.340,1.293,0.743
14:35:39,4.346,1.292,0.747
14:35:40,4.350,1.288,0.749
14:35:40,4.353,1.282,0.748
14:35:41,4.353,1.276,0.747
14:35:41,4.351,1.273,0.748
14:35:42,4.349,1.273,0.748
14:35:42,4.350,1.270,0.745
14:35:43,4.350,1.268,0.738
14:35:43,4.346,1.266,0.730
14:35:44,4.340,1.265,0.724
14:35:44,4.334,1.263,0.722
14:35:45,4.327,1.267,0.721
14:35:45,4.320,1.274,0.717
14:35:46,4.313,1.282,0.714
14:35:46,4.311,1.293,0.710
14:35:47,4.311,1.302,0.706
14:35:47,4.310,1.307,0.706
14:35:48,4.310,1.310,0.709
14:35:49,4.309,1.312,0.711
14:35:49,4.307,1.314,0.713
14:35:50,4.305,1.314,0.711
14:35:50,4.306,1.313,0.707
14:35:51,4.308,1.310,0.706
14:35:51,4.312,1.308,0.710
14:35:52,4.316,1.307,0.715
14:35:52,4.316,1.304,0.718
14:35:53,4.315,1.299,0.717
14:35:53,4.317,1.294,0.716
