mismatch_deg,range_m,alt_cmd,alt_actual,alt_drop,geom_dist_err,geom_brg_err,geom_reason,llm_naive_dist_err,llm_naive_brg_err,llm_posed_dist_err,llm_posed_brg_err,geom_area
45.0,2.0,2.0,1.981,0.019,0.5574815288552424,1.5964486285733237,,,,,,0.009
67.5,2.0,2.0,1.971,0.029,2.3189583168232355,14.881486615425302,,,,,,0.0045
67.5,3.0,2.0,1.808,0.192,,,boyut kapisi eledi,,,,,
67.5,4.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
90.0,2.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
90.0,3.0,2.0,1.981,0.019,0.34629014158353755,6.5082353135717845,,,,,,0.0044
90.0,4.0,2.0,1.971,0.029,0.49088169941555604,23.8395462362706,,,,,,0.0059
112.5,2.0,2.0,1.962,0.038,2.1094509677515987,41.38745945986381,,,,,,0.0063
112.5,3.0,2.0,1.998,0.002,0.11409346963035816,21.47102899777972,,,,,,0.0179
112.5,4.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
135.0,2.0,2.0,1.98,0.02,0.10578583132204855,9.69107953982706,,,,,,0.008
135.0,3.0,2.0,1.971,0.029,0.010512210913031339,29.39493599172702,,,,,,0.0043
135.0,4.0,2.0,1.961,0.039,,,boyut kapisi eledi,,,,,
157.5,2.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
157.5,3.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
157.5,4.0,2.0,1.981,0.019,1.8327325937168526,18.854918530414825,,,,,,0.0176
-180.0,2.0,2.0,1.971,0.029,0.9575386972951696,11.691363297263559,,,,,,0.0043
-180.0,3.0,2.0,1.806,0.194,1.420131762834898,7.973557449794797,,,,,,0.0125
-180.0,4.0,2.0,1.997,0.003,1.0421798066140173,23.123240858698132,,,,,,0.0081
-157.5,2.0,2.0,1.99,0.01,1.118542422493534,24.182889703417164,,,,,,0.0042
-157.5,3.0,2.0,1.981,0.019,,,boyut kapisi eledi,,,,,
-157.5,4.0,2.0,1.971,0.029,1.839212840488866,2.179008318211459,,,,,,0.0179
-135.0,2.0,2.0,1.962,0.038,2.7305641761189605,37.87061935631795,,,,,,0.0073
-135.0,3.0,2.0,2.0,0.0,1.539837031681575,4.475078509390378,,,,,,0.0199
-135.0,4.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
-112.5,2.0,2.0,1.981,0.019,0.852848258929479,12.61766153985226,,,,,,0.0049
-112.5,3.0,2.0,1.971,0.029,1.3165313818056141,26.173993856862417,,,,,,0.0048
-112.5,4.0,2.0,1.962,0.038,0.4761796177888531,5.731365140280873,,,,,,0.0185
-90.0,2.0,2.0,1.998,0.002,0.4927966032251385,18.619691346957506,,,,,,0.0044
-90.0,3.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
-90.0,4.0,2.0,1.921,0.079,,,boyut kapisi eledi,,,,,
-67.5,2.0,2.0,1.971,0.029,0.14803773607046367,25.915767833965003,,,,,,0.0061
-67.5,3.0,2.0,-0.049,2.049,,,isin yere ulasmadi,,,,,
-67.5,4.0,2.0,-0.018,2.018,,,isin yere ulasmadi,,,,,
-45.0,2.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
-45.0,3.0,2.0,-0.034,2.034,,,isin yere ulasmadi,,,,,
-45.0,4.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
45.0,2.0,2.0,-0.014,2.014,,,isin yere ulasmadi,,,,,
67.5,2.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
67.5,3.0,2.0,1.947,0.053,1.0782029125759416,19.86768681589722,,,,,,0.0182
67.5,4.0,2.0,1.98,0.02,1.1124359953587706,20.976932077547286,,,,,,0.0081
90.0,2.0,2.0,1.97,0.03,1.1884028647947735,17.43845836426024,,,,,,0.0079
90.0,3.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
90.0,4.0,2.0,1.959,0.041,,,isin yere ulasmadi,,,,,
112.5,2.0,2.0,1.918,0.082,,,boyut kapisi eledi,,,,,
112.5,3.0,2.0,1.97,0.03,0.1134315007092992,21.658364673008634,,,,,,0.0179
112.5,4.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
135.0,2.0,2.0,1.99,0.01,0.11952219002911635,17.126330240002776,,,,,,0.0045
135.0,3.0,2.0,1.921,0.079,0.0834629734710215,7.455432428883363,,,,,,0.0045
135.0,4.0,2.0,1.97,0.03,0.7716084707455222,20.029029193012548,,,,,,0.009
157.5,2.0,2.0,2.0,0.0,0.59483833651477,17.07511059927862,,,,,,0.0049
157.5,3.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
157.5,4.0,2.0,1.981,0.019,1.8292412469194126,18.83156651339109,,,,,,0.0176
-180.0,2.0,2.0,1.971,0.029,1.0737632945536135,14.132040960019083,,,,,,0.0076
-180.0,3.0,2.0,1.962,0.038,1.4206987030176057,7.926663459604812,,,,,,0.0123
-180.0,4.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
-157.5,2.0,2.0,1.991,0.009,,,isin yere ulasmadi,,,,,
-157.5,3.0,2.0,1.981,0.019,,,boyut kapisi eledi,,,,,
-157.5,4.0,2.0,1.972,0.028,1.992632081387967,2.3134597664912713,,,,,,0.0178
-135.0,2.0,2.0,1.963,0.037,1.11635483965112,5.799199264242416,,,,,,0.0042
-135.0,3.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
-135.0,4.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
-112.5,2.0,2.0,1.981,0.019,0.4754037847573884,5.688231358347557,,,,,,0.0087
-112.5,3.0,2.0,1.971,0.029,1.280220475200995,24.687193796031,,,,,,0.0047
-112.5,4.0,2.0,1.962,0.038,0.6472405525055853,6.978509281423054,,,,,,0.0188
-90.0,2.0,2.0,2.0,0.0,0.47976974977334486,17.63031289176471,,,,,,0.0044
-90.0,3.0,2.0,1.991,0.009,,,isin yere ulasmadi,,,,,
-90.0,4.0,2.0,1.981,0.019,1.7109676152080535,23.121004954493277,,,,,,0.0389
-67.5,2.0,2.0,1.972,0.028,0.056316613629732615,21.46937109411753,,,,,,0.0061
-67.5,3.0,2.0,1.963,0.037,,,boyut kapisi eledi,,,,,
-67.5,4.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
-45.0,2.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
-45.0,3.0,2.0,1.981,0.019,0.18559229498224283,8.00192873695122,,,,,,0.0044
-45.0,4.0,2.0,1.856,0.144,0.006524009649147899,28.695825575339615,,,,,,0.014
