wall_clock,x,y,z
14:46:42,3.886,-1.960,3.178
14:46:43,3.900,-1.977,2.883
14:46:43,3.899,-1.991,2.585
14:46:44,3.899,-1.999,2.384
14:46:44,3.975,-1.984,2.257
14:46:45,4.079,-1.945,2.174
14:46:45,4.185,-1.889,2.119
14:46:46,4.286,-1.822,2.080
14:46:46,4.381,-1.750,2.053
14:46:47,4.477,-1.676,2.034
14:46:47,4.583,-1.602,2.022
14:46:48,4.697,-1.527,2.016
14:46:48,4.815,-1.451,2.013
14:46:49,4.929,-1.379,2.010
14:46:49,4.978,-1.352,2.004
14:46:50,5.006,-1.353,1.994
14:46:50,5.021,-1.356,1.935
14:46:51,5.036,-1.358,1.852
14:46:51,5.050,-1.345,1.786
14:46:52,5.046,-1.257,1.739
14:46:52,5.028,-1.145,1.709
14:46:53,5.001,-1.020,1.685
14:46:53,4.966,-0.890,1.670
14:46:54,4.926,-0.757,1.663
14:46:54,4.882,-0.616,1.661
14:46:55,4.838,-0.477,1.656
14:46:55,4.792,-0.336,1.630
14:46:56,4.744,-0.195,1.583
14:46:56,4.694,-0.052,1.519
14:46:57,4.644,0.092,1.442
14:46:57,4.592,0.231,1.362
14:46:58,4.536,0.369,1.276
14:46:58,4.481,0.498,1.186
14:46:59,4.430,0.618,1.089
14:47:00,4.387,0.722,0.989
14:47:00,4.348,0.814,0.889
14:47:01,4.314,0.888,0.825
14:47:01,4.290,0.946,0.788
14:47:02,4.274,0.992,0.765
14:47:02,4.258,1.037,0.748
14:47:03,4.245,1.075,0.735
14:47:03,4.247,1.090,0.724
14:47:04,4.253,1.093,0.716
14:47:04,4.258,1.092,0.713
14:47:05,4.261,1.088,0.712
14:47:05,4.262,1.083,0.710
14:47:06,4.265,1.076,0.706
14:47:06,4.267,1.068,0.702
14:47:07,4.267,1.060,0.699
14:47:07,4.264,1.053,0.700
14:47:08,4.263,1.046,0.698
14:47:08,4.263,1.039,0.697
14:47:09,4.262,1.032,0.700
14:47:09,4.264,1.021,0.702
14:47:10,4.265,1.010,0.702
14:47:10,4.247,1.022,0.699
14:47:11,4.226,1.043,0.696
14:47:11,4.220,1.048,0.692
14:47:12,4.222,1.052,0.688
14:47:12,4.223,1.056,0.687
14:47:13,4.222,1.061,0.693
14:47:13,4.220,1.068,0.699
14:47:14,4.219,1.077,0.699
14:47:14,4.224,1.084,0.698
14:47:15,4.234,1.090,0.701
14:47:15,4.245,1.092,0.704
14:47:16,4.256,1.092,0.704
14:47:16,4.265,1.089,0.699
14:47:17,4.273,1.087,0.694
14:47:17,4.278,1.087,0.693
14:47:18,4.281,1.088,0.694
14:47:18,4.284,1.090,0.697
14:47:19,4.284,1.088,0.700
14:47:19,4.282,1.084,0.699
14:47:20,4.277,1.078,0.697
14:47:20,4.273,1.073,0.697
14:47:21,4.269,1.070,0.697
14:47:21,4.266,1.068,0.694
14:47:22,4.265,1.068,0.687
14:47:23,4.267,1.070,0.683
14:47:23,4.271,1.070,0.686
14:47:24,4.277,1.067,0.692
14:47:24,4.283,1.064,0.696
14:47:25,4.285,1.064,0.699
14:47:25,4.283,1.066,0.700
14:47:26,4.278,1.068,0.700
14:47:26,4.271,1.067,0.701
14:47:27,4.268,1.067,0.701
14:47:27,4.267,1.066,0.703
14:47:28,4.269,1.067,0.705
14:47:28,4.271,1.070,0.702
14:47:29,4.275,1.074,0.695
14:47:29,4.282,1.077,0.689
14:47:30,4.287,1.078,0.684
14:47:30,4.290,1.078,0.679
14:47:31,4.288,1.079,0.676
14:47:31,4.284,1.080,0.676
14:47:32,4.280,1.081,0.673
14:47:32,4.276,1.083,0.668
14:47:33,4.273,1.083,0.659
14:47:33,4.269,1.085,0.653
14:47:34,4.268,1.091,0.651
14:47:34,4.268,1.097,0.653
14:47:35,4.268,1.101,0.657
14:47:35,4.266,1.101,0.661
14:47:36,4.264,1.100,0.668
14:47:36,4.267,1.097,0.676
14:47:37,4.271,1.094,0.684
14:47:37,4.276,1.091,0.694
14:47:38,4.283,1.085,0.702
14:47:38,4.292,1.080,0.709
14:47:39,4.297,1.078,0.716
14:47:39,4.295,1.076,0.722
14:47:40,4.293,1.076,0.721
14:47:40,4.291,1.079,0.713
14:47:41,4.291,1.083,0.703
14:47:41,4.292,1.087,0.689
14:47:42,4.293,1.089,0.675
14:47:42,4.294,1.086,0.664
14:47:43,4.292,1.084,0.660
14:47:43,4.291,1.084,0.661
14:47:44,4.295,1.084,0.662
14:47:44,4.300,1.085,0.665
14:47:45,4.307,1.089,0.669
14:47:45,4.315,1.094,0.672
14:47:46,4.319,1.097,0.675
14:47:46,4.319,1.098,0.681
14:47:47,4.317,1.096,0.687
14:47:47,4.315,1.093,0.691
14:47:48,4.311,1.090,0.693
14:47:48,4.307,1.087,0.692
14:47:49,4.305,1.087,0.690
14:47:50,4.305,1.088,0.683
14:47:50,4.309,1.089,0.675
14:47:51,4.315,1.088,0.671
14:47:51,4.320,1.085,0.673
14:47:52,4.322,1.081,0.674
14:47:52,4.322,1.077,0.674
14:47:53,4.319,1.076,0.676
14:47:53,4.316,1.075,0.678
14:47:54,4.314,1.079,0.681
14:47:54,4.316,1.085,0.681
14:47:55,4.318,1.092,0.678
14:47:55,4.319,1.098,0.672
14:47:56,4.317,1.100,0.664
14:47:56,4.314,1.100,0.660
14:47:57,4.311,1.098,0.655
14:47:57,4.312,1.093,0.651
14:47:58,4.317,1.088,0.654
14:47:58,4.324,1.088,0.660
14:47:59,4.331,1.092,0.665
14:47:59,4.333,1.095,0.668
14:48:00,4.333,1.096,0.671
14:48:00,4.330,1.097,0.676
14:48:01,4.327,1.097,0.682
14:48:01,4.322,1.097,0.690
14:48:02,4.316,1.096,0.698
14:48:02,4.311,1.096,0.702
14:48:03,4.306,1.097,0.704
14:48:03,4.305,1.096,0.708
14:48:04,4.307,1.091,0.712
14:48:04,4.310,1.085,0.717
14:48:05,4.314,1.080,0.721
14:48:05,4.319,1.074,0.720
14:48:06,4.321,1.069,0.717
14:48:06,4.323,1.066,0.717
14:48:07,4.322,1.065,0.714
14:48:07,4.320,1.066,0.711
14:48:08,4.318,1.067,0.705
14:48:08,4.315,1.067,0.696
14:48:09,4.316,1.063,0.682
14:48:09,4.317,1.061,0.669
14:48:10,4.319,1.063,0.661
14:48:10,4.315,1.070,0.657
14:48:11,4.309,1.069,0.653
14:48:11,4.304,1.068,0.647
