run,handoffs,arrived,arrival_denied,contact,blocked,size_drop,center_fail,lost,strayed,gave_up,pose_broken,throttled,locked,tgt_x,tgt_y,drone_x,drone_y,obstacle_gap,warmup
1,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.72,-0.23,0.02,0.10,0.21,0
2,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.52,-0.21,1.17,-0.58,0.22,12
3,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.53,-0.20,1.81,-0.19,0.21,24
4,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.62,-0.15,0.60,0.72,0.13,36
5,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.66,-0.12,2.21,0.93,0.01,48
6,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.65,-0.25,2.40,-0.72,0.25,60
