range_m,bearing_deg,is_box,conf,px,w_0.0,w_0.75,w_1.0,w_0.45,best_ratio
4.0,30.0,0,0.579,419,3.44,2.119,1.679,2.647,3.357
4.0,30.0,0,0.574,419,3.44,2.119,1.679,2.647,3.357
4.0,30.0,1,0.515,77,0.526,0.324,0.257,0.405,1.053
4.0,30.0,1,0.474,77,0.526,0.324,0.257,0.405,1.053
4.0,30.0,0,0.358,74,0.608,0.374,0.297,0.468,0.936
4.0,30.0,0,0.161,767,4.804,2.959,2.344,3.697,4.689
4.0,30.0,0,0.58,419,3.427,2.111,1.672,2.637,3.345
4.0,30.0,0,0.577,419,3.44,2.119,1.679,2.647,3.357
4.0,30.0,1,0.515,77,0.525,0.323,0.256,0.404,1.05
4.0,30.0,1,0.471,77,0.526,0.324,0.257,0.405,1.053
4.0,30.0,0,0.358,74,0.61,0.376,0.298,0.469,0.939
4.0,30.0,0,0.16,767,4.804,2.959,2.344,3.697,4.689
4.0,60.0,1,0.528,81,0.559,0.345,0.274,0.431,1.118
4.0,60.0,1,0.505,82,0.566,0.349,0.277,0.436,1.132
4.0,60.0,0,0.448,414,2.939,1.815,1.44,2.265,2.88
4.0,60.0,0,0.242,63,0.562,0.347,0.275,0.433,1.123
4.0,60.0,1,0.522,81,0.563,0.35,0.279,0.435,1.127
4.0,60.0,1,0.49,81,0.563,0.35,0.279,0.435,1.127
4.0,60.0,0,0.446,414,2.962,1.841,1.467,2.289,2.934
4.0,60.0,0,0.269,63,0.565,0.351,0.28,0.437,1.13
5.0,-60.0,0,0.634,438,3.291,2.034,1.615,2.537,3.23
5.0,-60.0,1,0.431,67,0.559,0.345,0.274,0.431,1.118
5.0,-60.0,0,0.394,93,0.602,0.372,0.296,0.464,0.929
5.0,-60.0,1,0.355,67,0.559,0.345,0.274,0.431,1.118
5.0,-60.0,0,0.193,564,3.922,2.425,1.925,3.024,3.85
5.0,-60.0,0,0.627,438,3.296,2.04,1.621,2.542,3.241
5.0,-60.0,1,0.42,67,0.56,0.346,0.275,0.432,1.119
5.0,-60.0,0,0.385,93,0.603,0.373,0.297,0.465,0.931
5.0,-60.0,1,0.363,67,0.56,0.346,0.275,0.432,1.119
5.0,-60.0,0,0.186,562,3.917,2.424,1.926,3.021,3.852
5.0,-30.0,0,0.521,405,3.75,2.32,1.844,2.892,3.687
5.0,-30.0,1,0.353,63,0.524,0.324,0.258,0.404,1.049
5.0,-30.0,0,0.24,525,3.816,2.361,1.876,2.943,3.753
5.0,-30.0,0,0.191,69,0.514,0.318,0.253,0.397,1.028
5.0,-30.0,0,0.52,404,3.762,2.336,1.861,2.907,3.722
5.0,-30.0,1,0.35,63,0.527,0.328,0.261,0.408,1.055
5.0,-30.0,0,0.236,527,3.852,2.392,1.905,2.976,3.811
5.0,-30.0,0,0.185,69,0.517,0.321,0.256,0.4,1.035
5.0,0.0,0,0.316,373,4.139,2.558,2.032,3.191,4.063
5.0,0.0,0,0.317,373,4.132,2.551,2.024,3.183,4.048
5.0,30.0,0,0.514,346,3.374,2.078,1.646,2.596,3.293
5.0,30.0,0,0.486,346,3.374,2.078,1.646,2.596,3.293
5.0,30.0,1,0.452,63,0.521,0.321,0.254,0.401,1.041
5.0,30.0,1,0.298,63,0.521,0.321,0.254,0.401,1.041
5.0,30.0,0,0.275,61,0.592,0.364,0.289,0.455,0.911
5.0,30.0,0,0.516,346,3.38,2.085,1.653,2.603,3.306
5.0,30.0,0,0.486,346,3.38,2.085,1.653,2.603,3.306
5.0,30.0,1,0.445,63,0.522,0.322,0.255,0.402,1.043
5.0,30.0,1,0.302,63,0.522,0.322,0.255,0.402,1.043
5.0,30.0,0,0.285,61,0.593,0.366,0.29,0.457,0.913
5.0,60.0,1,0.389,66,0.552,0.341,0.27,0.425,1.103
5.0,60.0,0,0.33,317,2.662,1.644,1.304,2.051,2.609
5.0,60.0,1,0.3,66,0.55,0.339,0.269,0.423,1.099
5.0,60.0,0,0.215,55,0.569,0.352,0.279,0.439,1.139
5.0,60.0,1,0.38,66,0.547,0.337,0.267,0.421,1.095
5.0,60.0,0,0.326,317,2.643,1.628,1.29,2.034,2.579
5.0,60.0,0,0.209,54,0.557,0.343,0.272,0.428,1.113
6.0,-60.0,1,0.459,57,0.564,0.349,0.278,0.435,1.128
6.0,-60.0,0,0.431,75,0.591,0.366,0.291,0.456,0.912
6.0,-60.0,0,0.419,338,2.967,1.838,1.461,2.29,2.923
6.0,-60.0,1,0.291,56,0.554,0.343,0.273,0.428,1.108
6.0,-60.0,0,0.234,418,3.46,2.143,1.704,2.67,3.409
6.0,-60.0,1,0.453,57,0.559,0.345,0.274,0.43,1.117
6.0,-60.0,0,0.436,337,2.945,1.819,1.443,2.269,2.886
6.0,-60.0,0,0.416,74,0.578,0.357,0.283,0.446,0.891
6.0,-60.0,1,0.287,56,0.549,0.339,0.269,0.423,1.098
6.0,-60.0,0,0.224,421,3.454,2.133,1.692,2.661,3.384
6.0,-30.0,0,0.514,338,3.614,2.234,1.774,2.786,3.548
6.0,-30.0,1,0.39,54,0.53,0.328,0.26,0.409,1.06
6.0,-30.0,0,0.252,452,3.778,2.335,1.854,2.912,3.708
6.0,-30.0,0,0.218,57,0.505,0.312,0.248,0.389,1.01
6.0,-30.0,1,0.211,54,0.53,0.328,0.26,0.409,1.06
6.0,-30.0,0,0.512,338,3.607,2.227,1.767,2.779,3.535
6.0,-30.0,1,0.386,54,0.529,0.327,0.259,0.408,1.059
6.0,-30.0,0,0.248,452,3.771,2.328,1.847,2.905,3.695
6.0,-30.0,0,0.22,57,0.504,0.311,0.247,0.388,1.008
6.0,-30.0,1,0.208,54,0.529,0.327,0.259,0.408,1.059
6.0,0.0,0,0.437,323,4.094,2.525,2.002,3.152,4.004
6.0,0.0,0,0.437,323,4.069,2.509,1.99,3.133,3.979
6.0,30.0,1,0.552,54,0.529,0.327,0.259,0.408,1.059
6.0,30.0,0,0.431,297,3.368,2.079,1.65,2.595,3.3
6.0,30.0,0,0.403,299,3.372,2.082,1.652,2.598,3.304
6.0,30.0,1,0.378,53,0.52,0.321,0.255,0.4,1.039
6.0,30.0,0,0.178,52,0.582,0.359,0.285,0.448,0.897
6.0,30.0,1,0.544,54,0.528,0.326,0.258,0.407,1.057
6.0,30.0,0,0.427,297,3.361,2.073,1.644,2.588,3.288
6.0,30.0,0,0.398,299,3.366,2.076,1.646,2.592,3.292
6.0,30.0,1,0.374,53,0.519,0.32,0.254,0.399,1.037
6.0,30.0,0,0.177,53,0.595,0.367,0.291,0.458,0.917
6.0,60.0,1,0.308,57,0.56,0.346,0.274,0.431,1.121
6.0,60.0,0,0.233,257,2.49,1.536,1.218,1.918,2.435
6.0,60.0,0,0.153,47,0.563,0.347,0.275,0.433,1.126
6.0,60.0,1,0.313,57,0.56,0.346,0.274,0.431,1.121
6.0,60.0,0,0.231,257,2.49,1.536,1.218,1.918,2.435
6.0,60.0,0,0.154,47,0.563,0.347,0.275,0.433,1.126
