mismatch_deg,range_m,alt_cmd,alt_actual,alt_drop,geom_area,geom_dist_err,geom_brg_err,geom_reason,llm_naive_dist_err,llm_naive_brg_err,llm_posed_dist_err,llm_posed_brg_err
-90.0,3.0,2.0,1.45,0.55,,,,boyut kapisi eledi,,,,
-90.0,4.0,2.0,1.961,0.039,,,,tespit yok,,,,
-67.5,2.0,2.0,1.636,0.364,0.0178,0.11283764545829644,8.493822947968189,,,,,
-67.5,3.0,2.0,1.437,0.563,0.0079,0.17982408426199648,11.609804057918623,,,,,
-67.5,4.0,2.0,1.979,0.021,0.0044,0.1649965311202477,10.993881549705437,,,,,
-45.0,2.0,2.0,1.655,0.345,0.0203,0.14158384085902354,9.298899078479218,,,,,
-45.0,3.0,2.0,1.472,0.528,0.0088,0.16102397651011646,13.698548836604111,,,,,
-45.0,4.0,2.0,1.964,0.036,,,,tespit yok,,,,
45.0,2.0,2.0,1.778,0.222,0.0246,0.623986743200196,2.3866601142410238,,,,,
67.5,2.0,2.0,1.338,0.662,0.0188,0.5134325871603074,7.497755796551038,,,,,
67.5,3.0,2.0,1.949,0.051,0.0081,0.5088392180276324,7.331694829021818,,,,,
67.5,4.0,2.0,1.701,0.299,0.0044,0.614154436330224,9.132453892110243,,,,,
90.0,2.0,2.0,1.355,0.645,0.014,0.26143975056806656,8.875388229190992,,,,,
90.0,3.0,2.0,1.979,0.021,0.0059,0.24818767434748246,8.32296436718673,,,,,
90.0,4.0,2.0,1.651,0.349,,,,boyut kapisi eledi,,,,
112.5,2.0,2.0,1.351,0.649,0.0186,0.015425841443543753,9.874181478709314,,,,,
112.5,3.0,2.0,1.961,0.039,0.008,0.007140333721819658,9.789014446262387,,,,,
112.5,4.0,2.0,1.624,0.376,0.0044,0.011502356708115613,13.581380013861613,,,,,
135.0,2.0,2.0,1.437,0.563,0.0206,0.2642959927266224,9.060883346656672,,,,,
135.0,3.0,2.0,1.949,0.051,0.009,0.274132066496394,9.328207964095382,,,,,
135.0,4.0,2.0,1.687,0.313,0.0049,0.34295222743393783,11.230181915202763,,,,,
157.5,2.0,2.0,1.565,0.435,0.0179,0.47408672620112746,6.562960235171634,,,,,
157.5,3.0,2.0,1.967,0.033,0.0079,0.4969747253107446,6.946572100306474,,,,,
157.5,4.0,2.0,1.795,0.205,0.0042,0.5965124838602627,8.14878780825098,,,,,
-180.0,2.0,2.0,1.345,0.655,0.0129,0.6034341777055774,3.875227284657015,,,,,
-180.0,3.0,2.0,1.964,0.036,0.0082,0.2042521342003445,20.717774983585056,,,,,
-180.0,4.0,2.0,1.783,0.217,0.0042,0.3847010479720714,20.94321591258487,,,,,
-157.5,2.0,2.0,1.509,0.491,0.0177,0.6204532649033929,0.8874684163453227,,,,,
-157.5,3.0,2.0,1.949,0.051,0.0075,0.7116965661733241,0.9650370045212384,,,,,
-157.5,4.0,2.0,1.654,0.346,0.0042,0.9335996456149873,1.2197524246918454,,,,,
-135.0,2.0,2.0,1.464,0.536,0.0203,0.6776127427917222,2.4759691929373138,,,,,
-135.0,3.0,2.0,1.967,0.033,0.0088,0.6907885106705578,2.534235979678236,,,,,
-135.0,4.0,2.0,1.723,0.277,0.0048,0.8223269040608567,2.870401918093598,,,,,
-112.5,2.0,2.0,1.328,0.672,0.0186,0.5952602301658159,5.954616582195859,,,,,
-112.5,3.0,2.0,1.964,0.036,0.008,0.555066455991156,5.660989471492661,,,,,
-112.5,4.0,2.0,1.704,0.296,0.0044,0.6719451884151297,6.476466994476862,,,,,
-90.0,2.0,2.0,1.605,0.395,0.0383,0.3974821905149666,8.708058123367602,,,,,
-90.0,3.0,2.0,2.157,-0.157,0.0269,1.3077750954267513,14.221281896501964,,,,,
-90.0,4.0,2.0,1.873,0.127,,,,boyut kapisi eledi,,,,
-67.5,2.0,2.0,1.628,0.372,0.0297,1.0362156906449043,7.372098468515132,,,,,
-67.5,3.0,2.0,1.509,0.491,0.0073,1.4812389536366055,16.839810496495552,,,,,
-67.5,4.0,2.0,1.974,0.026,0.0044,1.7729248688999606,29.99514946503492,,,,,
-45.0,2.0,2.0,1.782,0.218,,,,filtre eledi,,,,
-45.0,3.0,2.0,1.779,0.221,,,,filtre eledi,,,,
-45.0,4.0,2.0,1.451,0.549,0.147,1.6589868272874142,44.0410986725717,,,,,
