run,handoffs,arrived,arrival_denied,contact,blocked,size_drop,center_fail,lost,strayed,gave_up,pose_broken,throttled,locked,tgt_x,tgt_y,drone_x,drone_y,obstacle_gap,start_x,start_y
1,1,1,0,0,0,0,0,0,0,0,0,0,book,2.85,-0.18,0.05,-0.06,0.17,0.00,0.00
2,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0.00,1.20
3,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.60,-0.28,2.10,-0.94,0.28,1.90,-1.20
4,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.62,-0.12,2.20,0.84,0.03,2.40,1.20
5,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.73,-0.18,0.93,0.17,0.15,-0.80,-0.60
6,1,1,0,0,0,0,0,0,0,0,0,0,phone,2.62,-0.26,2.44,-1.10,0.26,2.60,-1.30
