wall_clock,x,y,z
14:52:22,0.000,0.000,-0.000
14:52:23,0.000,0.000,-0.002
14:52:24,-0.000,-0.000,-0.014
14:52:24,-0.000,-0.000,-0.013
14:52:25,-0.000,-0.000,-0.013
14:52:25,-0.000,-0.000,-0.013
14:52:26,-0.000,-0.000,-0.013
14:52:26,-0.000,-0.000,-0.013
14:52:27,-0.000,-0.000,-0.013
14:52:27,-0.000,-0.000,-0.013
14:52:28,-0.000,-0.000,-0.013
14:52:28,-0.000,-0.000,-0.013
14:52:29,-0.000,-0.000,-0.013
14:52:29,-0.000,-0.000,-0.013
14:52:30,-0.000,-0.000,-0.013
14:52:30,-0.000,-0.000,-0.013
14:52:31,-0.000,-0.000,-0.013
14:52:31,-0.000,-0.000,-0.013
14:52:32,-0.000,-0.000,-0.013
14:52:32,-0.000,-0.000,-0.013
14:52:33,-0.000,-0.000,-0.013
14:52:33,-0.000,-0.000,-0.013
14:52:34,-0.000,-0.000,-0.013
14:52:34,-0.000,-0.000,-0.013
14:52:35,-0.000,-0.000,-0.013
14:52:35,-0.000,-0.000,-0.013
14:52:36,-0.000,-0.000,-0.013
14:52:36,-0.000,-0.000,-0.013
14:52:37,-0.000,-0.000,-0.013
14:52:37,-0.000,-0.000,-0.013
14:52:38,-0.000,-0.000,-0.013
14:52:38,-0.000,-0.000,-0.013
14:52:39,-0.000,-0.000,-0.013
14:52:39,-0.000,-0.000,-0.013
14:52:40,-0.000,-0.000,-0.013
14:52:40,-0.000,-0.000,-0.013
14:52:41,-0.000,-0.000,-0.013
14:52:41,-0.000,-0.000,-0.013
14:52:42,-0.000,-0.000,-0.013
14:52:42,-0.000,-0.000,-0.013
14:52:43,-0.000,-0.000,-0.013
14:52:43,-0.000,-0.000,-0.013
14:52:44,-0.000,-0.000,-0.013
14:52:44,-0.000,-0.000,-0.013
14:52:45,-0.000,-0.000,-0.013
14:52:45,-0.000,-0.000,-0.013
14:52:46,-0.002,-0.001,-0.001
14:52:46,0.039,0.011,0.384
14:52:47,0.090,0.026,1.348
14:52:47,0.117,0.034,2.185
14:52:48,0.120,0.030,1.898
14:52:48,0.125,0.026,1.665
14:52:49,0.129,0.020,1.614
14:52:50,0.129,0.009,1.623
14:52:50,0.126,-0.003,1.652
14:52:51,0.118,-0.011,1.694
14:52:51,0.109,-0.012,1.734
14:52:52,0.104,-0.007,1.764
14:52:52,0.105,0.002,1.792
14:52:53,0.108,0.009,1.825
14:52:53,0.106,0.013,1.855
14:52:54,0.102,0.015,1.877
14:52:54,0.096,0.015,1.893
14:52:55,0.088,0.013,1.907
14:52:55,0.081,0.009,1.920
14:52:56,0.074,0.003,1.931
14:52:56,0.070,-0.002,1.942
14:52:57,0.066,-0.006,1.948
14:52:57,0.065,-0.009,1.951
14:52:58,0.064,-0.007,1.953
14:52:58,0.064,-0.002,1.952
14:52:59,0.066,0.004,1.955
14:52:59,0.069,0.010,1.959
14:53:00,0.074,0.012,1.961
14:53:00,0.080,0.009,1.963
14:53:01,0.088,0.002,1.962
14:53:01,0.093,-0.004,1.959
14:53:02,0.097,-0.009,1.959
14:53:02,0.098,-0.010,1.962
14:53:03,0.100,-0.007,1.965
14:53:03,0.105,-0.002,1.970
14:53:04,0.110,-0.002,1.977
14:53:04,0.115,-0.005,1.985
14:53:05,0.121,-0.006,1.993
14:53:05,0.126,-0.010,1.998
14:53:06,0.132,-0.015,1.998
14:53:06,0.136,-0.021,1.991
14:53:07,0.136,-0.025,1.983
14:53:07,0.136,-0.025,1.981
14:53:08,0.135,-0.026,1.983
14:53:08,0.134,-0.027,1.984
14:53:09,0.131,-0.025,1.985
14:53:09,0.126,-0.020,1.987
14:53:10,0.121,-0.011,1.988
14:53:10,0.116,-0.001,1.990
14:53:11,0.109,0.005,1.995
14:53:11,0.102,0.008,1.998
14:53:12,0.097,0.007,1.997
14:53:12,0.092,0.002,1.995
14:53:13,0.087,-0.002,1.990
14:53:13,0.080,-0.003,1.984
14:53:14,0.072,-0.003,1.979
14:53:14,0.066,-0.003,1.975
14:53:15,0.065,-0.003,1.977
14:53:15,0.064,-0.007,1.981
14:53:16,0.059,-0.011,1.978
14:53:17,0.100,-0.023,1.971
14:53:17,0.208,-0.044,1.963
14:53:18,0.331,-0.071,1.958
14:53:18,0.455,-0.118,1.955
14:53:19,0.578,-0.180,1.952
14:53:19,0.663,-0.226,1.954
14:53:20,0.685,-0.254,1.952
14:53:20,0.690,-0.280,1.951
14:53:21,0.690,-0.300,1.950
14:53:21,0.688,-0.313,1.994
14:53:22,0.693,-0.329,2.313
14:53:22,0.694,-0.344,2.631
14:53:23,0.691,-0.347,2.925
14:53:23,0.690,-0.349,3.129
14:53:24,0.690,-0.352,3.256
14:53:24,0.693,-0.350,3.339
14:53:25,0.706,-0.350,3.399
14:53:25,0.792,-0.385,3.430
14:53:26,0.893,-0.448,3.446
14:53:26,0.997,-0.502,3.456
14:53:27,1.107,-0.549,3.465
14:53:27,1.213,-0.600,3.468
14:53:28,1.320,-0.657,3.467
14:53:28,1.430,-0.717,3.465
14:53:29,1.541,-0.778,3.460
14:53:29,1.650,-0.840,3.458
14:53:30,1.760,-0.908,3.462
14:53:30,1.873,-0.977,3.467
14:53:31,1.986,-1.045,3.469
14:53:31,2.094,-1.113,3.467
14:53:32,2.202,-1.181,3.464
14:53:32,2.313,-1.249,3.466
14:53:33,2.420,-1.315,3.469
14:53:33,2.532,-1.384,3.473
14:53:34,2.644,-1.450,3.476
14:53:34,2.758,-1.519,3.483
14:53:35,2.869,-1.584,3.489
14:53:35,2.982,-1.648,3.496
14:53:36,3.099,-1.713,3.500
14:53:36,3.214,-1.779,3.500
14:53:37,3.325,-1.843,3.498
14:53:37,3.434,-1.905,3.497
14:53:38,3.543,-1.965,3.496
14:53:39,3.654,-2.025,3.496
14:53:39,3.759,-2.079,3.497
14:53:40,3.867,-2.132,3.498
14:53:40,3.973,-2.184,3.494
14:53:41,4.079,-2.234,3.492
14:53:41,4.191,-2.285,3.490
14:53:42,4.309,-2.336,3.486
14:53:42,4.428,-2.390,3.479
14:53:43,4.548,-2.449,3.475
14:53:43,4.669,-2.508,3.470
14:53:44,4.789,-2.569,3.466
14:53:44,4.912,-2.631,3.441
14:53:45,5.000,-2.675,3.156
14:53:45,5.015,-2.697,2.848
14:53:46,5.014,-2.718,2.555
14:53:46,5.013,-2.730,2.354
14:53:47,5.011,-2.736,2.221
14:53:47,5.006,-2.741,2.136
14:53:48,4.994,-2.750,2.085
14:53:48,5.010,-2.721,2.044
14:53:49,5.022,-2.687,1.986
14:53:49,5.021,-2.680,1.937
14:53:50,5.022,-2.669,1.906
14:53:50,5.020,-2.583,1.886
14:53:51,5.012,-2.466,1.874
14:53:51,4.998,-2.338,1.867
14:53:52,4.979,-2.203,1.861
14:53:52,4.955,-2.058,1.856
14:53:53,4.929,-1.911,1.851
14:53:53,4.904,-1.764,1.844
14:53:54,4.878,-1.610,1.836
14:53:54,4.852,-1.458,1.834
14:53:55,4.826,-1.307,1.837
14:53:55,4.800,-1.161,1.842
14:53:56,4.770,-1.015,1.847
14:53:56,4.735,-0.871,1.851
14:53:57,4.698,-0.725,1.833
14:53:57,4.664,-0.582,1.786
14:53:58,4.629,-0.439,1.721
14:53:58,4.595,-0.297,1.648
